Experiment log
Epoch	ClsLoss	SrcAcc	TarAcc
Epoch:1.0	2.3266	0.4579	0.4994
Epoch:2.0	1.0374	0.7149	0.4956
Epoch:3.0	0.7886	0.7806	0.5006
Epoch:4.0	0.7485	0.7909	0.4881
Epoch:5.0	0.5997	0.8225	0.5497
Epoch:6.0	0.5610	0.8403	0.5384
Epoch:7.0	0.6064	0.8296	0.5220
Epoch:8.0	0.3877	0.8797	0.5195
Epoch:9.0	0.3012	0.9123	0.5308
Epoch:10.0	0.2833	0.9166	0.5258
Epoch:11.0	0.2578	0.9180	0.5409
Epoch:12.0	0.2508	0.9354	0.5157
Epoch:13.0	0.5814	0.8647	0.4830
Epoch:14.0	0.3625	0.9230	0.5082
Epoch:15.0	0.4894	0.8722	0.5082
Epoch:16.0	0.2568	0.9208	0.5170
Epoch:17.0	0.2054	0.9365	0.5220
Epoch:18.0	0.1799	0.9432	0.5245
Epoch:19.0	0.1603	0.9503	0.5182
Epoch:20.0	0.1407	0.9570	0.5270
Epoch:21.0	0.1255	0.9613	0.5296
Epoch:22.0	0.1117	0.9656	0.5157
Epoch:23.0	0.1211	0.9602	0.5258
Epoch:24.0	0.0888	0.9716	0.5321
Epoch:25.0	0.1025	0.9691	0.5434
Epoch:26.0	0.0963	0.9720	0.5258
Epoch:27.0	0.0814	0.9752	0.5258
Epoch:28.0	0.0725	0.9798	0.5283
Epoch:29.0	0.0876	0.9752	0.5371
Epoch:30.0	0.0867	0.9716	0.5270
Epoch:31.0	0.0713	0.9780	0.5296
Epoch:32.0	0.0707	0.9783	0.5535
Epoch:33.0	0.0792	0.9734	0.5585
Epoch:34.0	0.0640	0.9819	0.5384
Epoch:35.0	0.0582	0.9815	0.5245
Epoch:36.0	0.0726	0.9759	0.5698
Epoch:37.0	0.0617	0.9787	0.5535
Epoch:38.0	0.0589	0.9808	0.5233
Epoch:39.0	0.0571	0.9830	0.5384
Epoch:40.0	0.0747	0.9769	0.5396
Epoch:41.0	0.0614	0.9798	0.5497
Epoch:42.0	0.0555	0.9833	0.5572
Epoch:43.0	0.0546	0.9826	0.5258
Epoch:44.0	0.0508	0.9851	0.5484
Epoch:45.0	0.0557	0.9819	0.5509
Epoch:46.0	0.0548	0.9847	0.5522
Epoch:47.0	0.0803	0.9780	0.5509
Epoch:48.0	0.0645	0.9812	0.5459
Epoch:49.0	0.0615	0.9830	0.5447
Epoch:50.0	0.0527	0.9862	0.5409
Epoch:51.0	0.0556	0.9833	0.5585
Epoch:52.0	0.0570	0.9844	0.5597
Epoch:53.0	0.0489	0.9844	0.5497
Epoch:54.0	0.0366	0.9876	0.5421
Epoch:55.0	0.0513	0.9844	0.5497
Epoch:56.0	0.0432	0.9854	0.5321
Epoch:57.0	0.0493	0.9876	0.5258
Epoch:58.0	0.0472	0.9872	0.5497
Epoch:59.0	0.0378	0.9869	0.5472
Epoch:60.0	0.0388	0.9897	0.5447
Epoch:61.0	0.0327	0.9918	0.5371
Epoch:62.0	0.0368	0.9876	0.5585
Epoch:63.0	0.0298	0.9911	0.5509
Epoch:64.0	0.0305	0.9918	0.5447
Epoch:65.0	0.0323	0.9897	0.5648
Epoch:66.0	0.0274	0.9901	0.5635
Epoch:67.0	0.0285	0.9908	0.5509
Epoch:68.0	0.0322	0.9890	0.5698
Epoch:69.0	0.0340	0.9883	0.5660
Epoch:70.0	0.0330	0.9886	0.5472
Epoch:71.0	0.0266	0.9904	0.5447
Epoch:72.0	0.0383	0.9876	0.5836
Epoch:73.0	0.0301	0.9890	0.5333
Epoch:74.0	0.0321	0.9904	0.5635
Epoch:75.0	0.0351	0.9897	0.5560
Epoch:76.0	0.0303	0.9897	0.5635
Epoch:77.0	0.0248	0.9918	0.5421
Epoch:78.0	0.0294	0.9901	0.5560
Epoch:79.0	0.0318	0.9908	0.5547
Epoch:80.0	0.0285	0.9915	0.5648
Epoch:81.0	0.0250	0.9918	0.5648
Epoch:82.0	0.0314	0.9922	0.5421
Epoch:83.0	0.0291	0.9890	0.5472
Epoch:84.0	0.0318	0.9901	0.5296
Epoch:85.0	0.0302	0.9911	0.5572
Epoch:86.0	0.0248	0.9929	0.5585
Epoch:87.0	0.0267	0.9908	0.5673
Epoch:88.0	0.0228	0.9947	0.5447
Epoch:89.0	0.0286	0.9922	0.5660
Epoch:90.0	0.0323	0.9886	0.5472
Epoch:91.0	0.0243	0.9936	0.5547
Epoch:92.0	0.0226	0.9925	0.5736
Epoch:93.0	0.0231	0.9911	0.5736
Epoch:94.0	0.0236	0.9940	0.5547
Epoch:95.0	0.0208	0.9947	0.5711
Epoch:96.0	0.0294	0.9911	0.5472
Epoch:97.0	0.0301	0.9876	0.5497
Epoch:98.0	0.0333	0.9901	0.5686
Epoch:99.0	0.0148	0.9968	0.5774
Epoch:100.0	0.0197	0.9936	0.5572
Epoch:101.0	0.0343	0.9904	0.5585
Epoch:102.0	0.0260	0.9915	0.5535
Epoch:103.0	0.0275	0.9911	0.5509
Epoch:104.0	0.0308	0.9897	0.5698
Epoch:105.0	0.0271	0.9929	0.5736
Epoch:106.0	0.0164	0.9943	0.5786
Epoch:107.0	0.0166	0.9950	0.5610
Epoch:108.0	0.0262	0.9915	0.5862
Epoch:109.0	0.0209	0.9947	0.5547
Epoch:110.0	0.0150	0.9947	0.5358
Epoch:111.0	0.0250	0.9929	0.5686
Epoch:112.0	0.0187	0.9940	0.5585
Epoch:113.0	0.0142	0.9950	0.5472
Epoch:114.0	0.0253	0.9929	0.5560
Epoch:115.0	0.0274	0.9929	0.5811
Epoch:116.0	0.0250	0.9922	0.5522
Epoch:117.0	0.0227	0.9929	0.5635
Epoch:118.0	0.0181	0.9947	0.5673
Epoch:119.0	0.0207	0.9933	0.5522
Epoch:120.0	0.0225	0.9940	0.5610
Epoch:121.0	0.0183	0.9947	0.5572
Epoch:122.0	0.0231	0.9925	0.5711
Epoch:123.0	0.0334	0.9894	0.5396
Epoch:124.0	0.0264	0.9922	0.5384
Epoch:125.0	0.0255	0.9925	0.5686
Epoch:126.0	0.0230	0.9925	0.5585
Epoch:127.0	0.0191	0.9936	0.5597
Epoch:128.0	0.0220	0.9922	0.5660
Epoch:129.0	0.0234	0.9936	0.5610
Epoch:130.0	0.0132	0.9972	0.5686
Epoch:131.0	0.0200	0.9925	0.5585
Epoch:132.0	0.0149	0.9947	0.5572
Epoch:133.0	0.0224	0.9933	0.5660
Epoch:134.0	0.0276	0.9908	0.5774
Epoch:135.0	0.0164	0.9965	0.5484
Epoch:136.0	0.0205	0.9929	0.5686
Epoch:137.0	0.0152	0.9947	0.5560
Epoch:138.0	0.0181	0.9943	0.5673
Epoch:139.0	0.0144	0.9965	0.5723
Epoch:140.0	0.0161	0.9950	0.5635
Epoch:141.0	0.0143	0.9954	0.5824
Epoch:142.0	0.0141	0.9954	0.5572
Epoch:143.0	0.0178	0.9950	0.5774
Epoch:144.0	0.0217	0.9929	0.5660
Epoch:145.0	0.0109	0.9972	0.5799
Epoch:146.0	0.0144	0.9961	0.5497
Epoch:147.0	0.0184	0.9940	0.5836
Epoch:148.0	0.0172	0.9943	0.5673
Epoch:149.0	0.0173	0.9950	0.5723
Epoch:150.0	0.0143	0.9950	0.5623
Epoch:151.0	0.0169	0.9950	0.5736
Epoch:152.0	0.0243	0.9922	0.5585
Epoch:153.0	0.0136	0.9957	0.5711
Epoch:154.0	0.0173	0.9936	0.5648
Epoch:155.0	0.0117	0.9961	0.5660
Epoch:156.0	0.0154	0.9957	0.5874
Epoch:157.0	0.0201	0.9950	0.5635
Epoch:158.0	0.0261	0.9929	0.5660
Epoch:159.0	0.0187	0.9933	0.5572
Epoch:160.0	0.0147	0.9954	0.5874
Epoch:161.0	0.0182	0.9936	0.5623
Epoch:162.0	0.0146	0.9954	0.5836
Epoch:163.0	0.0114	0.9950	0.5635
Epoch:164.0	0.0191	0.9943	0.5572
Epoch:165.0	0.0158	0.9961	0.5522
Epoch:166.0	0.0186	0.9947	0.5623
Epoch:167.0	0.0192	0.9933	0.5887
Epoch:168.0	0.0177	0.9972	0.5648
Epoch:169.0	0.0133	0.9947	0.5648
Epoch:170.0	0.0175	0.9950	0.5824
Epoch:171.0	0.0127	0.9957	0.5862
Epoch:172.0	0.0136	0.9961	0.5723
Epoch:173.0	0.0139	0.9961	0.5635
Epoch:174.0	0.0160	0.9954	0.5522
Epoch:175.0	0.0147	0.9954	0.5824
Epoch:176.0	0.0168	0.9947	0.5535
Epoch:177.0	0.0164	0.9947	0.5635
Epoch:178.0	0.0200	0.9947	0.5597
Epoch:179.0	0.0141	0.9957	0.5585
Epoch:180.0	0.0148	0.9940	0.5635
Epoch:181.0	0.0166	0.9979	0.5597
Epoch:182.0	0.0141	0.9957	0.5421
Epoch:183.0	0.0079	0.9975	0.5447
Epoch:184.0	0.0151	0.9943	0.5673
Epoch:185.0	0.0215	0.9940	0.5811
Epoch:186.0	0.0134	0.9961	0.5597
Epoch:187.0	0.0186	0.9954	0.5711
Epoch:188.0	0.0197	0.9947	0.5585
Epoch:189.0	0.0141	0.9954	0.5686
Epoch:190.0	0.0130	0.9950	0.5836
Epoch:191.0	0.0131	0.9965	0.5635
Epoch:192.0	0.0135	0.9950	0.5723
Epoch:193.0	0.0186	0.9954	0.5673
Epoch:194.0	0.0119	0.9965	0.5761
Epoch:195.0	0.0151	0.9961	0.5560
Epoch:196.0	0.0121	0.9975	0.5698
Epoch:197.0	0.0153	0.9943	0.5862
Epoch:198.0	0.0116	0.9968	0.5597
