Experiment log
Epoch	ClsLoss	SrcAcc	TarAcc
Epoch:1.0	2.4647	0.4178	0.4780
Epoch:2.0	1.1056	0.7061	0.4591
Epoch:3.0	0.8686	0.7604	0.5044
Epoch:4.0	0.7305	0.8005	0.5245
Epoch:5.0	0.6397	0.8165	0.5094
Epoch:6.0	0.5402	0.8474	0.5057
Epoch:7.0	0.5016	0.8562	0.5208
Epoch:8.0	0.4622	0.8658	0.5258
Epoch:9.0	0.3737	0.8843	0.5484
Epoch:10.0	0.3626	0.8910	0.5220
Epoch:11.0	0.3347	0.8988	0.5421
Epoch:12.0	0.3026	0.9095	0.5308
Epoch:13.0	0.2765	0.9137	0.5547
Epoch:14.0	0.2537	0.9233	0.5447
Epoch:15.0	0.2297	0.9301	0.5384
Epoch:16.0	0.2388	0.9297	0.5321
Epoch:17.0	0.2281	0.9269	0.5472
Epoch:18.0	0.1832	0.9443	0.5497
Epoch:19.0	0.1946	0.9404	0.5585
Epoch:20.0	0.2006	0.9407	0.5509
Epoch:21.0	0.1701	0.9485	0.5459
Epoch:22.0	0.1757	0.9432	0.5409
Epoch:23.0	0.1699	0.9475	0.5296
Epoch:24.0	0.1421	0.9610	0.5308
Epoch:25.0	0.1404	0.9585	0.5610
Epoch:26.0	0.1509	0.9546	0.5296
Epoch:27.0	0.1246	0.9624	0.5497
Epoch:28.0	0.1392	0.9574	0.5447
Epoch:29.0	0.1382	0.9531	0.5673
Epoch:30.0	0.1093	0.9695	0.5434
Epoch:31.0	0.1286	0.9574	0.5459
Epoch:32.0	0.1147	0.9659	0.5623
Epoch:33.0	0.1211	0.9649	0.5472
Epoch:34.0	0.1187	0.9663	0.5346
Epoch:35.0	0.1172	0.9627	0.5484
Epoch:36.0	0.0972	0.9716	0.5396
Epoch:37.0	0.1133	0.9613	0.5535
Epoch:38.0	0.0952	0.9730	0.5484
Epoch:39.0	0.0830	0.9762	0.5497
Epoch:40.0	0.1005	0.9727	0.5836
Epoch:41.0	0.0881	0.9727	0.5660
Epoch:42.0	0.0981	0.9705	0.5535
Epoch:43.0	0.0979	0.9723	0.5585
Epoch:44.0	0.0872	0.9730	0.5597
Epoch:45.0	0.0928	0.9691	0.5698
Epoch:46.0	0.0907	0.9691	0.5648
Epoch:47.0	0.0939	0.9709	0.5673
Epoch:48.0	0.0939	0.9698	0.5497
Epoch:49.0	0.0873	0.9734	0.5899
Epoch:50.0	0.0711	0.9798	0.5686
Epoch:51.0	0.0766	0.9776	0.5723
Epoch:52.0	0.0764	0.9783	0.5597
Epoch:53.0	0.0681	0.9791	0.5572
Epoch:54.0	0.0787	0.9734	0.5434
Epoch:55.0	0.0655	0.9801	0.5358
Epoch:56.0	0.0852	0.9748	0.5711
Epoch:57.0	0.0768	0.9759	0.5472
Epoch:58.0	0.0743	0.9812	0.5585
Epoch:59.0	0.0636	0.9762	0.5786
Epoch:60.0	0.0748	0.9787	0.5774
Epoch:61.0	0.0612	0.9801	0.5258
Epoch:62.0	0.0583	0.9851	0.5660
Epoch:63.0	0.0560	0.9812	0.5560
Epoch:64.0	0.0636	0.9819	0.5509
Epoch:65.0	0.0893	0.9723	0.5673
Epoch:66.0	0.0663	0.9844	0.5597
Epoch:67.0	0.0725	0.9787	0.5635
Epoch:68.0	0.0637	0.9815	0.5597
Epoch:69.0	0.0626	0.9798	0.5572
Epoch:70.0	0.0646	0.9812	0.5748
Epoch:71.0	0.0828	0.9780	0.5585
Epoch:72.0	0.0620	0.9798	0.5358
Epoch:73.0	0.0526	0.9826	0.5623
Epoch:74.0	0.0622	0.9766	0.5660
Epoch:75.0	0.0535	0.9858	0.5572
