Experiment log
Epoch	ClsLoss	SrcAcc	TarAcc
Epoch:1.0	3.2397	0.3007	0.4000
Epoch:2.0	1.4049	0.6145	0.4679
Epoch:3.0	1.1652	0.6965	0.5006
Epoch:4.0	1.1287	0.6976	0.4742
Epoch:5.0	1.0044	0.7540	0.4855
Epoch:6.0	1.1827	0.7178	0.4415
Epoch:7.0	0.9838	0.7270	0.4541
Epoch:8.0	0.7887	0.7856	0.5044
Epoch:9.0	0.7212	0.8001	0.4981
Epoch:10.0	0.6480	0.8129	0.5019
Epoch:11.0	0.5631	0.8364	0.5220
Epoch:12.0	0.5338	0.8403	0.5031
Epoch:13.0	0.5343	0.8466	0.5132
Epoch:14.0	0.5730	0.8335	0.4956
Epoch:15.0	0.5075	0.8484	0.4792
Epoch:16.0	0.4706	0.8612	0.5233
Epoch:17.0	0.4430	0.8711	0.4893
Epoch:18.0	0.3764	0.8829	0.5044
Epoch:19.0	0.3998	0.8736	0.5057
Epoch:20.0	0.4515	0.8914	0.5094
Epoch:21.0	0.5249	0.8431	0.5208
Epoch:22.0	0.4220	0.8758	0.4881
Epoch:23.0	0.5399	0.8545	0.5233
Epoch:24.0	0.4096	0.8765	0.5069
Epoch:25.0	0.3713	0.8857	0.4931
Epoch:26.0	0.3312	0.9045	0.5296
Epoch:27.0	0.3247	0.9031	0.5195
Epoch:28.0	0.2789	0.9120	0.5182
Epoch:29.0	0.2628	0.9212	0.5170
Epoch:30.0	0.2304	0.9297	0.5296
Epoch:31.0	0.2552	0.9247	0.5170
Epoch:32.0	0.2384	0.9247	0.5472
Epoch:33.0	0.2446	0.9262	0.5157
Epoch:34.0	0.2562	0.9208	0.5082
Epoch:35.0	0.2335	0.9272	0.5346
Epoch:36.0	0.2050	0.9343	0.5308
Epoch:37.0	0.2278	0.9237	0.5220
Epoch:38.0	0.2060	0.9372	0.5296
Epoch:39.0	0.2432	0.9226	0.5358
Epoch:40.0	0.2016	0.9386	0.5358
Epoch:41.0	0.2063	0.9350	0.5358
Epoch:42.0	0.1999	0.9400	0.5396
Epoch:43.0	0.2168	0.9311	0.5346
Epoch:44.0	0.1737	0.9471	0.5296
Epoch:45.0	0.1739	0.9439	0.5308
Epoch:46.0	0.1669	0.9468	0.5170
Epoch:47.0	0.1558	0.9539	0.5346
Epoch:48.0	0.1633	0.9428	0.4969
Epoch:49.0	0.1586	0.9521	0.5283
Epoch:50.0	0.1671	0.9489	0.5333
Epoch:51.0	0.1440	0.9563	0.5384
Epoch:52.0	0.1401	0.9563	0.5447
Epoch:53.0	0.1477	0.9560	0.5333
Epoch:54.0	0.1768	0.9524	0.5283
Epoch:55.0	0.1791	0.9489	0.5333
Epoch:56.0	0.1599	0.9514	0.5094
Epoch:57.0	0.1308	0.9567	0.5157
Epoch:58.0	0.1287	0.9588	0.5195
Epoch:59.0	0.1230	0.9602	0.5522
Epoch:60.0	0.1248	0.9624	0.5321
Epoch:61.0	0.1130	0.9606	0.5283
Epoch:62.0	0.1320	0.9652	0.5296
Epoch:63.0	0.1307	0.9535	0.5270
Epoch:64.0	0.1137	0.9688	0.5358
Epoch:65.0	0.1200	0.9634	0.5270
Epoch:66.0	0.1145	0.9624	0.5358
Epoch:67.0	0.1182	0.9602	0.5358
Epoch:68.0	0.1043	0.9681	0.5384
Epoch:69.0	0.1010	0.9681	0.5421
Epoch:70.0	0.0970	0.9691	0.5258
Epoch:71.0	0.1039	0.9691	0.5283
Epoch:72.0	0.1101	0.9638	0.5283
Epoch:73.0	0.1081	0.9695	0.5220
Epoch:74.0	0.1025	0.9659	0.5409
Epoch:75.0	0.1183	0.9670	0.5270
Epoch:76.0	0.0983	0.9698	0.5308
Epoch:77.0	0.1072	0.9670	0.5208
Epoch:78.0	0.1025	0.9720	0.5208
Epoch:79.0	0.1054	0.9681	0.5421
Epoch:80.0	0.0903	0.9741	0.5409
Epoch:81.0	0.0913	0.9712	0.5270
Epoch:82.0	0.0959	0.9684	0.5220
Epoch:83.0	0.1027	0.9691	0.5371
Epoch:84.0	0.0850	0.9702	0.5346
Epoch:85.0	0.1140	0.9638	0.5245
Epoch:86.0	0.0868	0.9712	0.5258
Epoch:87.0	0.0885	0.9727	0.5296
Epoch:88.0	0.0923	0.9705	0.5258
Epoch:89.0	0.1025	0.9702	0.5157
Epoch:90.0	0.0910	0.9698	0.5421
Epoch:91.0	0.0897	0.9720	0.5283
Epoch:92.0	0.0861	0.9734	0.5409
Epoch:93.0	0.0865	0.9730	0.5270
Epoch:94.0	0.0853	0.9730	0.5270
Epoch:95.0	0.0818	0.9720	0.5296
Epoch:96.0	0.0802	0.9766	0.5296
Epoch:97.0	0.0818	0.9744	0.5333
Epoch:98.0	0.1024	0.9727	0.5371
Epoch:99.0	0.1389	0.9581	0.5270
Epoch:100.0	0.0936	0.9712	0.5396
Epoch:101.0	0.0798	0.9752	0.5346
Epoch:102.0	0.0829	0.9766	0.5384
Epoch:103.0	0.0757	0.9762	0.5333
Epoch:104.0	0.0729	0.9791	0.5522
Epoch:105.0	0.0754	0.9759	0.5283
Epoch:106.0	0.0846	0.9759	0.5484
Epoch:107.0	0.0828	0.9727	0.5321
Epoch:108.0	0.0820	0.9766	0.5333
Epoch:109.0	0.0842	0.9730	0.5321
Epoch:110.0	0.0798	0.9773	0.5396
Epoch:111.0	0.0717	0.9762	0.5220
Epoch:112.0	0.0588	0.9812	0.5459
Epoch:113.0	0.0808	0.9744	0.5497
Epoch:114.0	0.0602	0.9823	0.5258
Epoch:115.0	0.0707	0.9787	0.5283
Epoch:116.0	0.0718	0.9752	0.5585
Epoch:117.0	0.0726	0.9823	0.5245
Epoch:118.0	0.0642	0.9798	0.5535
Epoch:119.0	0.0760	0.9759	0.5421
Epoch:120.0	0.0658	0.9783	0.5296
Epoch:121.0	0.0628	0.9830	0.5296
Epoch:122.0	0.0639	0.9805	0.5409
Epoch:123.0	0.0651	0.9766	0.5283
Epoch:124.0	0.0650	0.9780	0.5346
Epoch:125.0	0.0713	0.9741	0.5358
Epoch:126.0	0.0603	0.9826	0.5484
Epoch:127.0	0.0677	0.9787	0.5447
Epoch:128.0	0.0633	0.9783	0.5421
Epoch:129.0	0.0611	0.9837	0.5384
Epoch:130.0	0.0737	0.9773	0.5434
Epoch:131.0	0.0677	0.9759	0.5358
Epoch:132.0	0.0693	0.9776	0.5371
Epoch:133.0	0.0729	0.9755	0.5258
Epoch:134.0	0.0657	0.9837	0.5560
Epoch:135.0	0.0500	0.9872	0.5497
Epoch:136.0	0.0636	0.9805	0.5535
Epoch:137.0	0.0598	0.9812	0.5409
Epoch:138.0	0.0553	0.9865	0.5346
Epoch:139.0	0.0611	0.9823	0.5434
Epoch:140.0	0.0687	0.9791	0.5396
Epoch:141.0	0.0722	0.9791	0.5421
Epoch:142.0	0.0906	0.9819	0.5258
Epoch:143.0	0.2820	0.9581	0.5472
Epoch:144.0	0.3336	0.9347	0.5245
Epoch:145.0	0.1768	0.9560	0.5270
Epoch:146.0	0.0992	0.9677	0.5119
Epoch:147.0	0.0848	0.9766	0.5447
Epoch:148.0	0.0881	0.9734	0.5270
Epoch:149.0	0.0816	0.9741	0.5358
Epoch:150.0	0.0856	0.9755	0.5094
Epoch:151.0	0.0782	0.9769	0.5245
Epoch:152.0	0.0768	0.9769	0.5472
Epoch:153.0	0.0713	0.9773	0.5333
Epoch:154.0	0.0817	0.9787	0.5472
