Experiment log
Epoch	ClsLoss	SrcAcc	TarAcc
Epoch:1.0	6.4058	0.0284	0.0302
Epoch:2.0	5.8085	0.0390	0.0365
Epoch:3.0	5.3659	0.0426	0.0377
Epoch:4.0	5.0184	0.0504	0.0491
Epoch:5.0	4.8438	0.0543	0.0566
Epoch:6.0	4.6035	0.0603	0.0491
Epoch:7.0	4.5198	0.0756	0.0679
Epoch:8.0	4.2843	0.0891	0.0642
Epoch:9.0	4.2903	0.0895	0.0654
Epoch:10.0	4.1354	0.1058	0.0893
Epoch:11.0	4.0598	0.1061	0.0767
Epoch:12.0	3.8791	0.1218	0.0742
Epoch:13.0	3.8310	0.1299	0.1132
Epoch:14.0	3.7861	0.1363	0.1044
Epoch:15.0	3.7004	0.1345	0.0881
Epoch:16.0	3.6213	0.1612	0.0969
Epoch:17.0	3.5934	0.1608	0.0868
Epoch:18.0	3.5000	0.1739	0.1132
Epoch:19.0	3.4586	0.1697	0.0981
Epoch:20.0	3.3987	0.1871	0.1283
Epoch:21.0	3.3132	0.1949	0.1245
Epoch:22.0	3.2683	0.2087	0.1308
Epoch:23.0	3.1958	0.2233	0.1434
Epoch:24.0	3.2517	0.2077	0.1497
Epoch:25.0	3.2009	0.2272	0.1535
Epoch:26.0	3.0173	0.2446	0.1069
Epoch:27.0	3.0356	0.2364	0.1409
Epoch:28.0	2.9709	0.2531	0.1497
Epoch:29.0	2.9914	0.2655	0.1585
Epoch:30.0	2.9954	0.2641	0.1497
Epoch:31.0	2.9074	0.2765	0.1610
Epoch:32.0	2.9321	0.2673	0.1736
Epoch:33.0	2.8391	0.2826	0.1572
Epoch:34.0	2.7866	0.2946	0.1635
Epoch:35.0	2.7668	0.2953	0.1912
Epoch:36.0	2.7614	0.2822	0.1723
Epoch:37.0	2.7176	0.3188	0.1786
Epoch:38.0	2.8240	0.2989	0.2000
Epoch:39.0	2.6709	0.3181	0.2201
Epoch:40.0	2.7349	0.3166	0.1560
Epoch:41.0	2.6033	0.3308	0.1824
Epoch:42.0	2.6691	0.3269	0.1937
Epoch:43.0	2.6536	0.3397	0.2151
Epoch:44.0	2.5838	0.3433	0.2075
Epoch:45.0	2.6250	0.3362	0.2101
Epoch:46.0	2.5418	0.3450	0.2340
Epoch:47.0	2.4621	0.3440	0.2025
Epoch:48.0	2.4493	0.3543	0.2352
Epoch:49.0	2.5399	0.3607	0.2138
Epoch:50.0	2.5895	0.3585	0.2239
Epoch:51.0	2.4026	0.3752	0.2252
Epoch:52.0	2.3748	0.3837	0.2327
Epoch:53.0	2.4512	0.3688	0.2050
Epoch:54.0	2.4518	0.3727	0.2252
Epoch:55.0	2.3439	0.3891	0.2189
Epoch:56.0	2.4228	0.3905	0.2214
Epoch:57.0	2.3453	0.4015	0.2289
Epoch:58.0	2.2655	0.4139	0.2377
Epoch:59.0	2.3769	0.3955	0.2541
Epoch:60.0	2.3627	0.3919	0.2604
Epoch:61.0	2.2547	0.4097	0.2415
Epoch:62.0	2.3812	0.4061	0.2340
Epoch:63.0	2.2436	0.4054	0.2591
Epoch:64.0	2.2134	0.4114	0.2403
Epoch:65.0	2.1762	0.4210	0.2390
Epoch:66.0	2.2424	0.4104	0.2478
Epoch:67.0	2.2633	0.4139	0.2553
Epoch:68.0	2.2139	0.4160	0.2591
Epoch:69.0	2.1909	0.4210	0.2767
Epoch:70.0	2.1654	0.4189	0.2453
Epoch:71.0	2.1431	0.4281	0.2667
Epoch:72.0	2.1742	0.4405	0.2730
Epoch:73.0	2.1696	0.4341	0.2692
Epoch:74.0	2.0971	0.4441	0.2642
Epoch:75.0	2.1106	0.4452	0.2516
Epoch:76.0	2.1899	0.4420	0.2516
Epoch:77.0	2.0908	0.4462	0.2704
Epoch:78.0	2.1170	0.4483	0.2667
Epoch:79.0	2.1002	0.4345	0.2704
Epoch:80.0	2.1929	0.4473	0.2906
Epoch:81.0	2.1488	0.4441	0.2906
Epoch:82.0	2.0940	0.4625	0.2742
Epoch:83.0	2.0709	0.4526	0.2528
Epoch:84.0	2.0309	0.4569	0.2830
Epoch:85.0	2.0584	0.4505	0.2767
Epoch:86.0	2.0126	0.4721	0.2931
