Experiment log
Epoch	ClsLoss	SrcAcc	TarAcc
Epoch:1.0	6.3929	0.0295	0.0302
Epoch:2.0	5.8140	0.0437	0.0365
Epoch:3.0	5.3737	0.0454	0.0377
Epoch:4.0	5.0516	0.0529	0.0491
Epoch:5.0	4.8764	0.0540	0.0591
Epoch:6.0	4.6434	0.0643	0.0516
Epoch:7.0	4.4797	0.0689	0.0692
Epoch:8.0	4.3613	0.0895	0.0616
Epoch:9.0	4.2705	0.0937	0.0654
Epoch:10.0	4.1300	0.0994	0.0893
Epoch:11.0	4.0259	0.1104	0.0755
Epoch:12.0	3.8944	0.1218	0.0742
Epoch:13.0	3.8649	0.1211	0.1094
Epoch:14.0	3.8455	0.1338	0.1044
Epoch:15.0	3.8081	0.1406	0.0893
Epoch:16.0	3.6463	0.1470	0.0943
Epoch:17.0	3.5615	0.1647	0.0843
Epoch:18.0	3.4710	0.1747	0.1119
Epoch:19.0	3.4150	0.1704	0.0994
Epoch:20.0	3.4248	0.1892	0.1220
Epoch:21.0	3.3527	0.2038	0.1195
Epoch:22.0	3.2954	0.2098	0.1296
Epoch:23.0	3.1893	0.2158	0.1409
Epoch:24.0	3.1857	0.2133	0.1459
Epoch:25.0	3.1377	0.2307	0.1535
Epoch:26.0	2.9912	0.2386	0.1057
Epoch:27.0	3.0412	0.2208	0.1421
Epoch:28.0	2.9510	0.2513	0.1497
Epoch:29.0	2.9874	0.2574	0.1560
Epoch:30.0	2.9888	0.2755	0.1497
Epoch:31.0	2.8665	0.2719	0.1585
Epoch:32.0	2.9513	0.2733	0.1698
Epoch:33.0	2.8365	0.2776	0.1610
Epoch:34.0	2.7786	0.2836	0.1660
Epoch:35.0	2.7790	0.2904	0.1887
Epoch:36.0	2.8234	0.2861	0.1711
Epoch:37.0	2.7351	0.2982	0.1786
Epoch:38.0	2.8404	0.3088	0.1975
Epoch:39.0	2.6739	0.3184	0.2264
Epoch:40.0	2.7167	0.3163	0.1535
Epoch:41.0	2.6196	0.3259	0.1849
Epoch:42.0	2.6881	0.3362	0.1937
Epoch:43.0	2.6219	0.3319	0.2126
Epoch:44.0	2.5579	0.3443	0.2075
Epoch:45.0	2.5871	0.3465	0.2113
Epoch:46.0	2.5123	0.3379	0.2327
Epoch:47.0	2.4761	0.3472	0.2038
Epoch:48.0	2.4650	0.3585	0.2352
Epoch:49.0	2.4800	0.3561	0.2113
Epoch:50.0	2.6122	0.3607	0.2239
Epoch:51.0	2.4201	0.3738	0.2277
Epoch:52.0	2.3762	0.3969	0.2289
Epoch:53.0	2.4508	0.3685	0.2063
Epoch:54.0	2.4585	0.3805	0.2264
Epoch:55.0	2.3549	0.3866	0.2138
Epoch:56.0	2.4320	0.3876	0.2189
Epoch:57.0	2.3627	0.3876	0.2252
Epoch:58.0	2.2612	0.3976	0.2302
Epoch:59.0	2.3655	0.3944	0.2566
Epoch:60.0	2.3052	0.3962	0.2528
Epoch:61.0	2.2848	0.4153	0.2415
Epoch:62.0	2.3975	0.4089	0.2365
Epoch:63.0	2.2992	0.4075	0.2616
Epoch:64.0	2.2120	0.4164	0.2403
Epoch:65.0	2.1834	0.4203	0.2377
Epoch:66.0	2.2368	0.4125	0.2465
Epoch:67.0	2.2427	0.4178	0.2528
Epoch:68.0	2.1972	0.4132	0.2591
Epoch:69.0	2.2288	0.4026	0.2730
Epoch:70.0	2.1473	0.4207	0.2465
Epoch:71.0	2.1172	0.4327	0.2692
Epoch:72.0	2.1357	0.4412	0.2742
Epoch:73.0	2.1735	0.4295	0.2717
Epoch:74.0	2.1242	0.4388	0.2642
Epoch:75.0	2.0968	0.4469	0.2491
Epoch:76.0	2.1124	0.4444	0.2453
Epoch:77.0	2.1126	0.4359	0.2616
Epoch:78.0	2.1160	0.4565	0.2679
Epoch:79.0	2.1445	0.4462	0.2717
Epoch:80.0	2.1674	0.4398	0.2906
Epoch:81.0	2.1666	0.4530	0.2881
Epoch:82.0	2.1104	0.4597	0.2755
Epoch:83.0	2.0604	0.4540	0.2503
Epoch:84.0	2.0901	0.4395	0.2818
Epoch:85.0	2.0761	0.4537	0.2780
Epoch:86.0	2.0577	0.4590	0.2868
Epoch:87.0	2.0455	0.4672	0.2780
Epoch:88.0	2.0054	0.4569	0.2792
Epoch:89.0	1.9784	0.4714	0.3057
Epoch:90.0	1.9987	0.4661	0.3094
Epoch:91.0	2.0140	0.4562	0.3094
Epoch:92.0	2.0577	0.4615	0.3170
Epoch:93.0	2.0244	0.4704	0.2742
Epoch:94.0	1.9814	0.4750	0.2792
Epoch:95.0	1.9596	0.4782	0.3044
Epoch:96.0	1.9654	0.4917	0.2969
Epoch:97.0	1.9064	0.4870	0.2943
Epoch:98.0	1.9501	0.4966	0.3157
Epoch:99.0	1.9712	0.4838	0.3208
Epoch:100.0	1.8958	0.4878	0.2931
Epoch:101.0	1.8976	0.4966	0.3170
Epoch:102.0	1.8703	0.4931	0.3057
Epoch:103.0	1.8819	0.5069	0.3132
Epoch:104.0	1.9448	0.4778	0.3195
Epoch:105.0	1.9254	0.4934	0.3132
Epoch:106.0	1.8605	0.4991	0.3057
Epoch:107.0	1.8650	0.5030	0.3145
Epoch:108.0	1.8471	0.5027	0.3182
Epoch:109.0	2.0261	0.4977	0.3044
Epoch:110.0	1.9313	0.5005	0.3195
Epoch:111.0	1.8308	0.5122	0.3258
Epoch:112.0	1.8008	0.5009	0.3233
Epoch:113.0	1.8816	0.5201	0.3245
Epoch:114.0	1.8139	0.5094	0.3170
Epoch:115.0	1.8454	0.5069	0.3333
Epoch:116.0	1.7950	0.5279	0.3472
Epoch:117.0	1.8538	0.5169	0.3195
Epoch:118.0	1.8786	0.5151	0.3044
Epoch:119.0	1.8164	0.5183	0.3245
Epoch:120.0	1.7909	0.5080	0.3346
Epoch:121.0	1.8012	0.5282	0.3283
Epoch:122.0	1.7862	0.5222	0.3220
Epoch:123.0	1.8227	0.5151	0.3094
Epoch:124.0	1.8682	0.5137	0.3547
Epoch:125.0	1.8233	0.5247	0.3459
Epoch:126.0	1.8413	0.5314	0.3371
Epoch:127.0	1.7323	0.5325	0.3321
Epoch:128.0	1.7603	0.5286	0.2981
Epoch:129.0	1.7544	0.5339	0.3195
Epoch:130.0	1.7870	0.5371	0.3308
Epoch:131.0	1.7800	0.5240	0.3434
Epoch:132.0	1.7829	0.5406	0.3472
Epoch:133.0	1.7153	0.5346	0.3447
Epoch:134.0	1.8468	0.5247	0.3384
Epoch:135.0	1.7901	0.5318	0.3358
Epoch:136.0	1.6886	0.5495	0.3421
Epoch:137.0	1.7293	0.5453	0.3245
Epoch:138.0	1.7407	0.5339	0.3585
Epoch:139.0	1.7592	0.5364	0.3396
Epoch:140.0	1.6762	0.5417	0.3535
Epoch:141.0	1.6864	0.5350	0.3396
Epoch:142.0	1.7618	0.5456	0.3472
Epoch:143.0	1.7433	0.5406	0.3648
Epoch:144.0	1.6953	0.5435	0.3296
Epoch:145.0	1.6721	0.5460	0.3560
Epoch:146.0	1.6770	0.5495	0.3308
Epoch:147.0	1.7122	0.5325	0.3409
Epoch:148.0	1.6738	0.5414	0.3434
Epoch:149.0	1.7196	0.5385	0.3522
Epoch:150.0	1.6936	0.5339	0.3648
Epoch:151.0	1.6547	0.5573	0.3673
Epoch:152.0	1.6801	0.5509	0.3585
Epoch:153.0	1.6695	0.5534	0.3371
Epoch:154.0	1.6745	0.5520	0.3409
Epoch:155.0	1.6881	0.5527	0.3245
Epoch:156.0	1.7205	0.5548	0.3434
Epoch:157.0	1.6992	0.5488	0.3509
Epoch:158.0	1.8115	0.5609	0.3447
Epoch:159.0	1.6316	0.5548	0.3535
Epoch:160.0	1.6066	0.5541	0.3409
Epoch:161.0	1.6327	0.5612	0.3698
Epoch:162.0	1.6593	0.5637	0.3673
Epoch:163.0	1.6447	0.5666	0.3698
Epoch:164.0	1.5968	0.5545	0.3396
Epoch:165.0	1.6226	0.5559	0.3358
Epoch:166.0	1.6217	0.5744	0.3409
Epoch:167.0	1.6031	0.5588	0.3497
Epoch:168.0	1.6198	0.5790	0.3610
Epoch:169.0	1.6424	0.5733	0.3585
Epoch:170.0	1.6140	0.5605	0.3597
Epoch:171.0	1.5770	0.5637	0.3459
Epoch:172.0	1.6047	0.5616	0.3862
Epoch:173.0	1.5571	0.5722	0.3786
Epoch:174.0	1.6333	0.5722	0.3824
Epoch:175.0	1.6866	0.5648	0.3472
Epoch:176.0	1.5807	0.5694	0.3610
Epoch:177.0	1.5772	0.5733	0.3547
Epoch:178.0	1.6287	0.5729	0.3522
Epoch:179.0	1.5894	0.5605	0.3673
Epoch:180.0	1.6455	0.5754	0.3711
Epoch:181.0	1.5580	0.5850	0.3509
Epoch:182.0	1.5739	0.5690	0.3484
Epoch:183.0	1.6642	0.5694	0.3786
Epoch:184.0	1.5598	0.5690	0.3748
Epoch:185.0	1.6321	0.5737	0.3723
Epoch:186.0	1.5305	0.5882	0.3623
Epoch:187.0	1.6686	0.5683	0.3610
Epoch:188.0	1.5756	0.5740	0.3635
Epoch:189.0	1.5380	0.5808	0.3711
Epoch:190.0	1.5241	0.5918	0.3862
Epoch:191.0	1.5558	0.5804	0.3811
Epoch:192.0	1.6058	0.5708	0.3736
Epoch:193.0	1.5767	0.5857	0.3736
Epoch:194.0	1.5422	0.5793	0.3799
Epoch:195.0	1.6096	0.5740	0.3635
Epoch:196.0	1.5558	0.5875	0.3597
Epoch:197.0	1.5346	0.5808	0.3686
Epoch:198.0	1.5465	0.5776	0.3711
Epoch:199.0	1.5222	0.5715	0.3560
Epoch:200.0	1.6432	0.5911	0.3723
Epoch:201.0	1.4826	0.6021	0.4013
Epoch:202.0	1.4870	0.5928	0.3862
Epoch:203.0	1.5292	0.5793	0.3748
Epoch:204.0	1.5139	0.5829	0.3925
Epoch:205.0	1.4829	0.5886	0.4025
Epoch:206.0	1.5349	0.5825	0.3686
Epoch:207.0	1.5254	0.5875	0.3799
Epoch:208.0	1.5412	0.5889	0.3610
Epoch:209.0	1.5070	0.5847	0.3836
Epoch:210.0	1.5256	0.5829	0.3811
Epoch:211.0	1.5637	0.5918	0.3774
Epoch:212.0	1.5078	0.5868	0.3824
Epoch:213.0	1.4885	0.5957	0.3912
Epoch:214.0	1.5352	0.5989	0.3748
Epoch:215.0	1.4719	0.5946	0.4038
Epoch:216.0	1.6064	0.5900	0.3748
Epoch:217.0	1.4325	0.6049	0.3811
Epoch:218.0	1.4977	0.5978	0.3723
Epoch:219.0	1.5889	0.5989	0.3987
Epoch:220.0	1.5004	0.5935	0.3497
Epoch:221.0	1.5215	0.5950	0.3824
Epoch:222.0	1.5563	0.5900	0.4088
Epoch:223.0	1.5230	0.5903	0.3912
Epoch:224.0	1.5509	0.6021	0.3925
Epoch:225.0	1.5351	0.6060	0.3912
Epoch:226.0	1.4573	0.6049	0.3849
Epoch:227.0	1.4818	0.5957	0.3673
Epoch:228.0	1.4469	0.5985	0.4126
Epoch:229.0	1.4609	0.5999	0.3736
Epoch:230.0	1.4975	0.5889	0.3887
Epoch:231.0	1.4588	0.5847	0.3698
Epoch:232.0	1.4339	0.6049	0.3811
Epoch:233.0	1.5241	0.5900	0.3824
Epoch:234.0	1.4393	0.6095	0.3560
Epoch:235.0	1.4866	0.6042	0.3887
Epoch:236.0	1.4773	0.5992	0.4013
Epoch:237.0	1.5196	0.5960	0.3849
Epoch:238.0	1.4250	0.6021	0.4038
Epoch:239.0	1.4963	0.6138	0.4088
Epoch:240.0	1.4315	0.6024	0.4226
Epoch:241.0	1.4363	0.6088	0.3925
Epoch:242.0	1.4284	0.6031	0.3811
Epoch:243.0	1.4959	0.6056	0.3925
Epoch:244.0	1.4380	0.6095	0.3874
Epoch:245.0	1.4631	0.6131	0.4050
Epoch:246.0	1.4207	0.6134	0.4013
Epoch:247.0	1.4376	0.6163	0.4088
Epoch:248.0	1.4160	0.6092	0.3862
Epoch:249.0	1.5407	0.5939	0.4088
Epoch:250.0	1.4005	0.6216	0.4000
Epoch:251.0	1.4385	0.6006	0.4126
Epoch:252.0	1.4103	0.6127	0.3975
Epoch:253.0	1.5163	0.6006	0.3899
Epoch:254.0	1.5320	0.6042	0.4000
Epoch:255.0	1.4877	0.6109	0.4050
Epoch:256.0	1.5111	0.6024	0.3761
Epoch:257.0	1.4715	0.6248	0.4164
Epoch:258.0	1.4112	0.6145	0.4025
Epoch:259.0	1.4391	0.6145	0.3824
Epoch:260.0	1.4405	0.6074	0.3887
Epoch:261.0	1.4043	0.6120	0.4101
Epoch:262.0	1.3823	0.6219	0.4038
Epoch:263.0	1.3834	0.6283	0.4201
Epoch:264.0	1.4207	0.6127	0.4013
Epoch:265.0	1.4066	0.6191	0.4214
Epoch:266.0	1.4288	0.6102	0.3987
Epoch:267.0	1.3794	0.6283	0.3862
Epoch:268.0	1.3823	0.6170	0.4113
Epoch:269.0	1.5116	0.6109	0.4088
Epoch:270.0	1.4069	0.6180	0.3987
Epoch:271.0	1.3802	0.6187	0.4113
Epoch:272.0	1.5082	0.6145	0.4201
Epoch:273.0	1.4188	0.6383	0.4289
Epoch:274.0	1.4209	0.6063	0.3912
Epoch:275.0	1.4494	0.6148	0.4038
Epoch:276.0	1.3671	0.6230	0.4038
Epoch:277.0	1.3886	0.6195	0.3862
Epoch:278.0	1.4608	0.6244	0.4113
Epoch:279.0	1.4170	0.6195	0.4038
Epoch:280.0	1.5715	0.6297	0.4075
Epoch:281.0	1.4041	0.6305	0.4063
Epoch:282.0	1.3900	0.6170	0.3774
Epoch:283.0	1.3946	0.6216	0.4088
Epoch:284.0	1.4403	0.6134	0.3950
Epoch:285.0	1.4225	0.6262	0.4189
Epoch:286.0	1.3568	0.6326	0.3962
Epoch:287.0	1.3612	0.6226	0.4013
Epoch:288.0	1.4050	0.6234	0.3912
Epoch:289.0	1.3265	0.6219	0.4000
Epoch:290.0	1.3831	0.6226	0.4164
Epoch:291.0	1.3825	0.6216	0.4050
Epoch:292.0	1.3958	0.6209	0.3824
Epoch:293.0	1.3409	0.6361	0.4063
Epoch:294.0	1.4811	0.6255	0.4289
Epoch:295.0	1.4121	0.6248	0.4164
Epoch:296.0	1.3950	0.6262	0.4063
Epoch:297.0	1.4684	0.6226	0.4138
Epoch:298.0	1.3942	0.6322	0.4138
Epoch:299.0	1.4132	0.6266	0.4063
Epoch:300.0	1.3327	0.6340	0.3950
Epoch:301.0	1.4177	0.6223	0.4013
Epoch:302.0	1.3740	0.6219	0.4252
Epoch:303.0	1.3481	0.6241	0.3975
Epoch:304.0	1.3654	0.6234	0.4327
Epoch:305.0	1.4070	0.6148	0.4113
Epoch:306.0	1.4141	0.6177	0.4176
Epoch:307.0	1.3447	0.6329	0.3887
Epoch:308.0	1.3807	0.6184	0.4390
Epoch:309.0	1.3699	0.6340	0.4340
Epoch:310.0	1.3668	0.6290	0.4000
Epoch:311.0	1.3537	0.6315	0.4164
Epoch:312.0	1.4659	0.6290	0.4101
Epoch:313.0	1.4464	0.6333	0.4126
Epoch:314.0	1.4042	0.6390	0.4252
Epoch:315.0	1.3693	0.6269	0.4252
