Experiment log
Epoch	ClsLoss	SrcAcc	TarAcc
Epoch:1.0	2.8699	0.3610	0.4340
Epoch:2.0	1.2783	0.6432	0.4717
Epoch:3.0	1.0677	0.7064	0.4704
Epoch:4.0	0.9567	0.7302	0.5044
Epoch:5.0	0.8500	0.7629	0.5409
Epoch:6.0	0.8245	0.7696	0.5132
Epoch:7.0	0.7353	0.7817	0.5283
Epoch:8.0	0.6605	0.8129	0.5132
Epoch:9.0	0.6502	0.8200	0.5182
Epoch:10.0	0.5402	0.8395	0.5258
Epoch:11.0	0.4914	0.8502	0.5182
Epoch:12.0	0.4548	0.8640	0.5132
Epoch:13.0	0.4208	0.8715	0.5421
Epoch:14.0	0.4106	0.8736	0.5094
Epoch:15.0	0.3543	0.8878	0.5333
Epoch:16.0	0.3567	0.8882	0.5170
Epoch:17.0	0.3249	0.8985	0.5296
Epoch:18.0	0.3046	0.8981	0.5371
Epoch:19.0	0.2586	0.9212	0.5421
Epoch:20.0	0.2816	0.9070	0.5233
Epoch:21.0	0.2485	0.9226	0.5283
Epoch:22.0	0.2519	0.9191	0.5296
Epoch:23.0	0.2963	0.9063	0.5421
Epoch:24.0	0.2492	0.9230	0.5560
Epoch:25.0	0.2203	0.9318	0.5623
Epoch:26.0	0.1945	0.9397	0.5497
Epoch:27.0	0.2023	0.9322	0.5509
Epoch:28.0	0.1866	0.9407	0.5472
Epoch:29.0	0.1752	0.9464	0.5623
Epoch:30.0	0.1838	0.9436	0.5270
Epoch:31.0	0.1840	0.9407	0.5522
Epoch:32.0	0.1776	0.9414	0.5547
Epoch:33.0	0.1689	0.9485	0.5547
Epoch:34.0	0.1673	0.9439	0.5547
Epoch:35.0	0.1441	0.9574	0.5535
Epoch:36.0	0.1529	0.9457	0.5673
Epoch:37.0	0.1452	0.9503	0.5547
Epoch:38.0	0.2193	0.9539	0.5522
Epoch:39.0	0.3849	0.9219	0.5346
Epoch:40.0	0.1466	0.9585	0.5409
Epoch:41.0	0.1407	0.9556	0.5484
Epoch:42.0	0.1643	0.9563	0.5711
Epoch:43.0	0.1805	0.9439	0.5195
Epoch:44.0	0.1491	0.9574	0.5585
Epoch:45.0	0.1544	0.9521	0.5572
Epoch:46.0	0.1325	0.9556	0.5597
Epoch:47.0	0.1219	0.9570	0.5572
Epoch:48.0	0.1218	0.9641	0.5409
Epoch:49.0	0.1310	0.9624	0.5585
Epoch:50.0	0.1134	0.9624	0.5459
Epoch:51.0	0.1197	0.9656	0.5585
Epoch:52.0	0.1081	0.9652	0.5572
Epoch:53.0	0.1063	0.9631	0.5434
Epoch:54.0	0.1216	0.9652	0.5308
Epoch:55.0	0.0958	0.9691	0.5384
Epoch:56.0	0.0989	0.9702	0.5434
Epoch:57.0	0.0979	0.9684	0.5371
Epoch:58.0	0.1016	0.9652	0.5484
Epoch:59.0	0.0798	0.9744	0.5447
Epoch:60.0	0.0954	0.9691	0.5572
Epoch:61.0	0.0923	0.9681	0.5421
Epoch:62.0	0.0976	0.9659	0.5195
Epoch:63.0	0.0816	0.9727	0.5321
Epoch:64.0	0.0700	0.9798	0.5447
Epoch:65.0	0.0889	0.9727	0.5472
Epoch:66.0	0.0870	0.9769	0.5384
