Experiment log
Epoch	ClsLoss	SrcAcc	TarAcc
Epoch:1.0	2.8539	0.3419	0.4314
Epoch:2.0	1.3294	0.6347	0.4730
Epoch:3.0	1.0985	0.7061	0.4943
Epoch:4.0	0.9689	0.7217	0.4893
Epoch:5.0	0.8448	0.7682	0.5132
Epoch:6.0	0.8214	0.7671	0.5069
Epoch:7.0	0.7592	0.7838	0.5421
Epoch:8.0	0.6490	0.8190	0.5195
Epoch:9.0	0.5751	0.8282	0.5220
Epoch:10.0	0.5090	0.8388	0.5031
Epoch:11.0	0.4820	0.8470	0.5182
Epoch:12.0	0.4074	0.8786	0.5145
Epoch:13.0	0.4141	0.8818	0.5233
Epoch:14.0	0.3988	0.8789	0.5270
Epoch:15.0	0.3944	0.8789	0.5283
Epoch:16.0	0.3661	0.8850	0.4943
Epoch:17.0	0.3129	0.9042	0.5258
Epoch:18.0	0.2930	0.9134	0.5434
Epoch:19.0	0.2758	0.9152	0.5270
Epoch:20.0	0.2718	0.9180	0.5321
Epoch:21.0	0.2580	0.9230	0.5208
Epoch:22.0	0.2358	0.9294	0.5447
Epoch:23.0	0.2199	0.9272	0.5484
Epoch:24.0	0.2012	0.9343	0.5119
Epoch:25.0	0.2259	0.9283	0.5358
Epoch:26.0	0.1767	0.9414	0.5208
Epoch:27.0	0.1623	0.9507	0.5283
Epoch:28.0	0.1619	0.9450	0.5208
Epoch:29.0	0.1536	0.9482	0.5409
Epoch:30.0	0.1559	0.9499	0.5208
Epoch:31.0	0.1524	0.9499	0.5333
Epoch:32.0	0.1530	0.9546	0.5321
Epoch:33.0	0.1534	0.9574	0.5220
Epoch:34.0	0.2958	0.9223	0.5082
Epoch:35.0	0.1758	0.9411	0.5157
Epoch:36.0	0.1394	0.9510	0.5145
Epoch:37.0	0.1247	0.9652	0.5296
Epoch:38.0	0.1820	0.9503	0.5321
Epoch:39.0	0.4976	0.8832	0.5044
Epoch:40.0	0.1757	0.9478	0.5296
Epoch:41.0	0.1413	0.9570	0.5094
Epoch:42.0	0.1375	0.9588	0.5333
Epoch:43.0	0.1520	0.9485	0.5119
Epoch:44.0	0.0995	0.9691	0.5296
Epoch:45.0	0.1170	0.9670	0.5296
Epoch:46.0	0.1422	0.9563	0.5346
Epoch:47.0	0.0864	0.9712	0.5522
Epoch:48.0	0.1061	0.9641	0.5371
Epoch:49.0	0.0969	0.9720	0.5308
Epoch:50.0	0.0888	0.9716	0.5384
Epoch:51.0	0.0957	0.9698	0.5396
Epoch:52.0	0.0976	0.9663	0.5321
Epoch:53.0	0.0866	0.9698	0.5296
Epoch:54.0	0.0861	0.9780	0.5258
Epoch:55.0	0.1262	0.9588	0.5208
Epoch:56.0	0.0962	0.9712	0.5296
Epoch:57.0	0.0913	0.9720	0.4969
Epoch:58.0	0.0771	0.9748	0.5308
Epoch:59.0	0.0761	0.9762	0.5447
Epoch:60.0	0.0840	0.9702	0.5358
Epoch:61.0	0.0699	0.9780	0.5182
Epoch:62.0	0.1460	0.9744	0.5170
Epoch:63.0	0.3403	0.9123	0.5006
Epoch:64.0	0.1265	0.9610	0.5296
Epoch:65.0	0.0903	0.9723	0.5296
Epoch:66.0	0.1089	0.9663	0.5182
