Experiment log
Epoch	ClsLoss	SrcAcc	TarAcc
Epoch:1.0	2.8820	0.3337	0.4164
Epoch:2.0	1.3723	0.6234	0.4516
Epoch:3.0	1.1597	0.6858	0.4742
Epoch:4.0	1.0722	0.7039	0.4881
Epoch:5.0	0.8856	0.7543	0.5208
Epoch:6.0	0.8237	0.7732	0.4868
Epoch:7.0	1.0035	0.7188	0.5296
Epoch:8.0	0.7132	0.7916	0.5459
Epoch:9.0	0.6351	0.8122	0.5258
Epoch:10.0	0.5629	0.8261	0.5182
Epoch:11.0	0.5061	0.8413	0.5132
Epoch:12.0	0.4833	0.8534	0.5270
Epoch:13.0	0.4583	0.8608	0.5384
Epoch:14.0	0.4460	0.8679	0.5245
Epoch:15.0	0.3879	0.8772	0.5484
Epoch:16.0	0.3735	0.8843	0.5145
Epoch:17.0	0.3601	0.8871	0.5421
Epoch:18.0	0.3059	0.9013	0.5208
Epoch:19.0	0.2782	0.9120	0.5497
Epoch:20.0	0.3030	0.9084	0.5132
Epoch:21.0	0.2966	0.9059	0.5182
Epoch:22.0	0.2521	0.9219	0.5208
Epoch:23.0	0.3335	0.9010	0.5509
Epoch:24.0	0.2427	0.9230	0.5472
Epoch:25.0	0.2192	0.9294	0.5597
Epoch:26.0	0.2118	0.9301	0.5220
Epoch:27.0	0.1972	0.9365	0.5396
Epoch:28.0	0.1650	0.9482	0.5535
Epoch:29.0	0.1861	0.9428	0.5459
Epoch:30.0	0.1766	0.9478	0.5434
Epoch:31.0	0.1668	0.9432	0.5547
Epoch:32.0	0.1667	0.9485	0.5560
Epoch:33.0	0.1564	0.9492	0.5497
Epoch:34.0	0.1503	0.9528	0.5610
Epoch:35.0	0.1332	0.9553	0.5371
Epoch:36.0	0.1337	0.9539	0.5560
Epoch:37.0	0.1289	0.9567	0.5610
Epoch:38.0	0.1415	0.9588	0.5522
Epoch:39.0	0.3363	0.9070	0.5333
Epoch:40.0	0.1431	0.9563	0.5472
Epoch:41.0	0.1326	0.9574	0.5560
Epoch:42.0	0.1352	0.9539	0.5560
Epoch:43.0	0.1186	0.9617	0.5497
Epoch:44.0	0.1182	0.9617	0.5346
Epoch:45.0	0.1160	0.9606	0.5484
Epoch:46.0	0.1276	0.9631	0.5547
Epoch:47.0	0.1230	0.9617	0.5522
Epoch:48.0	0.1092	0.9638	0.5660
Epoch:49.0	0.1144	0.9634	0.5447
Epoch:50.0	0.1037	0.9705	0.5459
Epoch:51.0	0.0848	0.9737	0.5648
Epoch:52.0	0.0884	0.9695	0.5484
Epoch:53.0	0.0931	0.9691	0.5686
Epoch:54.0	0.0807	0.9766	0.5560
Epoch:55.0	0.1336	0.9542	0.5421
Epoch:56.0	0.0988	0.9673	0.5522
Epoch:57.0	0.1225	0.9744	0.4906
Epoch:58.0	0.5826	0.8523	0.5182
Epoch:59.0	0.1814	0.9393	0.5535
Epoch:60.0	0.1448	0.9535	0.5459
Epoch:61.0	0.1100	0.9645	0.5396
Epoch:62.0	0.1103	0.9677	0.5484
