Experiment log
Epoch	ClsLoss	SrcAcc	TarAcc
Epoch:1.0	1.9335	0.5002	0.6151
Epoch:2.0	0.8686	0.7639	0.6239
Epoch:3.0	0.6876	0.8012	0.6616
Epoch:4.0	0.5495	0.8427	0.6717
Epoch:5.0	0.4827	0.8587	0.6767
Epoch:6.0	0.4102	0.8765	0.6591
Epoch:7.0	0.3672	0.8804	0.6805
Epoch:8.0	0.3188	0.8995	0.6629
Epoch:9.0	0.2986	0.9116	0.6415
Epoch:10.0	0.2279	0.9315	0.6491
Epoch:11.0	0.2279	0.9333	0.6428
Epoch:12.0	0.1997	0.9407	0.6881
Epoch:13.0	0.2002	0.9386	0.6340
Epoch:14.0	0.1618	0.9471	0.6654
Epoch:15.0	0.1340	0.9574	0.6440
Epoch:16.0	0.1358	0.9613	0.6843
Epoch:17.0	0.1250	0.9585	0.6453
Epoch:18.0	0.1135	0.9641	0.6629
Epoch:19.0	0.1207	0.9620	0.6465
Epoch:20.0	0.0875	0.9727	0.6755
Epoch:21.0	0.0825	0.9723	0.6415
Epoch:22.0	0.0908	0.9720	0.6453
Epoch:23.0	0.0784	0.9787	0.6415
Epoch:24.0	0.0602	0.9812	0.6616
Epoch:25.0	0.0679	0.9787	0.6591
Epoch:26.0	0.0553	0.9844	0.6428
Epoch:27.0	0.0521	0.9808	0.6616
Epoch:28.0	0.0688	0.9762	0.6704
Epoch:29.0	0.0612	0.9787	0.6692
Epoch:30.0	0.0453	0.9844	0.6591
Epoch:31.0	0.0571	0.9805	0.6692
Epoch:32.0	0.0444	0.9872	0.6780
Epoch:33.0	0.0397	0.9876	0.6780
Epoch:34.0	0.0407	0.9872	0.7006
Epoch:35.0	0.0496	0.9851	0.6591
Epoch:36.0	0.0530	0.9830	0.6679
Epoch:37.0	0.0385	0.9897	0.6906
Epoch:38.0	0.0389	0.9879	0.6717
Epoch:39.0	0.0347	0.9894	0.6717
Epoch:40.0	0.0258	0.9925	0.6868
Epoch:41.0	0.0272	0.9915	0.6667
Epoch:42.0	0.0238	0.9929	0.6742
Epoch:43.0	0.0294	0.9915	0.6730
Epoch:44.0	0.0299	0.9904	0.6704
Epoch:45.0	0.0235	0.9940	0.6805
Epoch:46.0	0.0343	0.9886	0.6704
Epoch:47.0	0.0321	0.9915	0.6855
Epoch:48.0	0.0257	0.9918	0.6730
Epoch:49.0	0.0242	0.9922	0.6755
Epoch:50.0	0.0231	0.9936	0.6818
Epoch:51.0	0.0224	0.9929	0.6704
Epoch:52.0	0.0318	0.9911	0.6616
Epoch:53.0	0.1216	0.9741	0.6730
Epoch:54.0	0.0308	0.9901	0.6566
Epoch:55.0	0.0286	0.9908	0.6302
Epoch:56.0	0.0249	0.9922	0.6616
Epoch:57.0	0.0202	0.9943	0.6541
Epoch:58.0	0.0231	0.9933	0.6742
Epoch:59.0	0.0232	0.9933	0.6566
Epoch:60.0	0.0234	0.9933	0.6629
Epoch:61.0	0.0142	0.9961	0.6830
Epoch:62.0	0.0217	0.9929	0.6881
Epoch:63.0	0.0255	0.9918	0.6767
Epoch:64.0	0.0209	0.9929	0.6755
Epoch:65.0	0.0213	0.9925	0.6528
Epoch:66.0	0.0173	0.9947	0.6843
Epoch:67.0	0.0228	0.9925	0.6843
Epoch:68.0	0.0159	0.9947	0.6704
Epoch:69.0	0.0142	0.9954	0.6654
Epoch:70.0	0.0238	0.9940	0.6881
Epoch:71.0	0.0150	0.9961	0.6755
Epoch:72.0	0.0217	0.9925	0.6730
Epoch:73.0	0.0150	0.9957	0.6956
Epoch:74.0	0.0202	0.9936	0.6616
Epoch:75.0	0.0164	0.9950	0.6830
Epoch:76.0	0.0202	0.9922	0.6830
Epoch:77.0	0.0187	0.9947	0.6931
Epoch:78.0	0.0130	0.9954	0.6868
Epoch:79.0	0.0190	0.9947	0.6855
Epoch:80.0	0.0130	0.9957	0.6855
Epoch:81.0	0.0221	0.9929	0.6805
Epoch:82.0	0.0108	0.9968	0.6906
Epoch:83.0	0.0132	0.9968	0.6868
Epoch:84.0	0.0125	0.9954	0.6843
Epoch:85.0	0.0178	0.9929	0.6818
Epoch:86.0	0.0113	0.9968	0.6667
Epoch:87.0	0.0161	0.9954	0.6755
Epoch:88.0	0.0166	0.9954	0.6792
Epoch:89.0	0.0258	0.9922	0.6792
Epoch:90.0	0.0149	0.9950	0.6818
Epoch:91.0	0.0135	0.9968	0.6818
Epoch:92.0	0.0145	0.9943	0.6704
Epoch:93.0	0.0110	0.9979	0.7044
Epoch:94.0	0.0136	0.9957	0.7044
Epoch:95.0	0.0139	0.9979	0.6918
Epoch:96.0	0.0216	0.9933	0.6868
Epoch:97.0	0.0114	0.9975	0.7019
Epoch:98.0	0.0101	0.9975	0.6931
Epoch:99.0	0.0120	0.9961	0.6704
Epoch:100.0	0.0089	0.9975	0.6679
Epoch:101.0	0.0115	0.9968	0.6906
Epoch:102.0	0.0161	0.9954	0.6667
Epoch:103.0	0.0105	0.9968	0.7044
Epoch:104.0	0.0078	0.9986	0.6792
Epoch:105.0	0.0115	0.9950	0.6780
Epoch:106.0	0.0090	0.9968	0.6792
Epoch:107.0	0.0052	0.9989	0.6792
Epoch:108.0	0.0088	0.9968	0.6855
Epoch:109.0	0.0097	0.9968	0.6843
Epoch:110.0	0.0084	0.9972	0.6843
Epoch:111.0	0.0081	0.9968	0.6654
Epoch:112.0	0.0126	0.9961	0.6591
Epoch:113.0	0.0121	0.9972	0.6629
Epoch:114.0	0.0092	0.9975	0.6629
Epoch:115.0	0.0091	0.9972	0.6604
Epoch:116.0	0.0081	0.9975	0.6654
Epoch:117.0	0.0125	0.9968	0.6767
Epoch:118.0	0.0129	0.9961	0.6654
Epoch:119.0	0.0088	0.9982	0.6591
Epoch:120.0	0.0111	0.9972	0.6654
Epoch:121.0	0.0113	0.9972	0.6616
Epoch:122.0	0.0131	0.9954	0.6780
Epoch:123.0	0.0138	0.9954	0.6755
Epoch:124.0	0.0079	0.9986	0.7006
Epoch:125.0	0.0079	0.9975	0.6780
Epoch:126.0	0.0105	0.9965	0.6818
Epoch:127.0	0.0096	0.9968	0.6767
Epoch:128.0	0.0058	0.9993	0.6730
Epoch:129.0	0.0089	0.9975	0.6780
Epoch:130.0	0.0079	0.9975	0.6604
Epoch:131.0	0.0091	0.9975	0.6667
Epoch:132.0	0.0094	0.9979	0.6755
Epoch:133.0	0.0093	0.9972	0.6755
Epoch:134.0	0.0069	0.9979	0.6566
Epoch:135.0	0.0099	0.9979	0.6755
Epoch:136.0	0.0067	0.9982	0.6491
Epoch:137.0	0.0050	0.9989	0.6843
Epoch:138.0	0.0071	0.9979	0.6843
Epoch:139.0	0.0076	0.9975	0.6931
Epoch:140.0	0.0136	0.9972	0.6868
Epoch:141.0	0.0087	0.9972	0.6792
Epoch:142.0	0.0079	0.9979	0.6818
Epoch:143.0	0.0097	0.9968	0.6868
Epoch:144.0	0.0056	0.9986	0.6931
Epoch:145.0	0.0076	0.9975	0.6943
Epoch:146.0	0.0074	0.9979	0.6981
Epoch:147.0	0.0053	0.9989	0.6855
Epoch:148.0	0.0069	0.9975	0.6755
Epoch:149.0	0.0082	0.9975	0.6805
Epoch:150.0	0.0066	0.9972	0.6767
Epoch:151.0	0.0052	0.9982	0.6818
Epoch:152.0	0.0091	0.9975	0.6818
Epoch:153.0	0.0041	0.9993	0.6792
Epoch:154.0	0.0085	0.9968	0.6717
Epoch:155.0	0.0071	0.9982	0.6805
Epoch:156.0	0.0096	0.9965	0.6818
Epoch:157.0	0.0087	0.9972	0.6780
Epoch:158.0	0.0099	0.9961	0.6881
Epoch:159.0	0.0064	0.9979	0.6755
Epoch:160.0	0.0070	0.9979	0.6893
Epoch:161.0	0.0066	0.9982	0.6818
Epoch:162.0	0.0057	0.9986	0.7094
Epoch:163.0	0.0053	0.9989	0.6918
Epoch:164.0	0.0059	0.9979	0.6830
Epoch:165.0	0.0061	0.9982	0.6629
Epoch:166.0	0.0078	0.9979	0.6881
Epoch:167.0	0.0080	0.9972	0.6792
Epoch:168.0	0.0031	0.9993	0.6868
Epoch:169.0	0.0037	0.9993	0.6918
Epoch:170.0	0.0062	0.9986	0.6868
Epoch:171.0	0.0066	0.9982	0.6830
Epoch:172.0	0.0112	0.9972	0.6906
Epoch:173.0	0.0048	0.9986	0.6843
Epoch:174.0	0.0088	0.9975	0.7044
Epoch:175.0	0.0052	0.9982	0.6893
Epoch:176.0	0.0104	0.9972	0.6755
Epoch:177.0	0.0071	0.9982	0.6868
Epoch:178.0	0.0044	0.9982	0.6843
Epoch:179.0	0.0091	0.9972	0.6830
Epoch:180.0	0.0042	0.9993	0.6969
Epoch:181.0	0.0079	0.9972	0.6730
Epoch:182.0	0.0040	0.9993	0.6855
Epoch:183.0	0.0055	0.9986	0.6855
Epoch:184.0	0.0061	0.9982	0.6767
Epoch:185.0	0.0054	0.9989	0.6855
Epoch:186.0	0.0039	0.9993	0.6780
Epoch:187.0	0.0060	0.9979	0.6780
Epoch:188.0	0.0064	0.9979	0.6730
Epoch:189.0	0.0056	0.9986	0.6780
Epoch:190.0	0.0114	0.9954	0.6843
Epoch:191.0	0.0043	0.9993	0.6868
Epoch:192.0	0.0065	0.9979	0.6818
Epoch:193.0	0.0049	0.9982	0.6805
Epoch:194.0	0.0033	0.9986	0.7132
Epoch:195.0	0.0041	0.9989	0.6830
Epoch:196.0	0.0064	0.9986	0.6956
Epoch:197.0	0.0053	0.9979	0.6830
Epoch:198.0	0.0054	0.9986	0.6855
Epoch:199.0	0.0094	0.9982	0.6956
Epoch:200.0	0.0086	0.9968	0.6843
Epoch:201.0	0.0123	0.9961	0.6742
Epoch:202.0	0.0068	0.9979	0.6855
Epoch:203.0	0.0058	0.9986	0.6855
Epoch:204.0	0.0065	0.9982	0.6818
Epoch:205.0	0.0030	0.9996	0.6679
Epoch:206.0	0.0034	0.9982	0.6679
Epoch:207.0	0.0032	0.9989	0.6931
Epoch:208.0	0.0045	0.9989	0.6792
Epoch:209.0	0.0025	0.9996	0.6792
Epoch:210.0	0.0077	0.9982	0.6830
Epoch:211.0	0.0082	0.9975	0.6906
Epoch:212.0	0.0053	0.9986	0.6855
Epoch:213.0	0.0040	0.9982	0.6755
Epoch:214.0	0.0055	0.9979	0.6830
Epoch:215.0	0.0061	0.9979	0.6893
Epoch:216.0	0.0054	0.9993	0.6742
Epoch:217.0	0.0083	0.9979	0.6780
Epoch:218.0	0.0037	0.9996	0.6654
Epoch:219.0	0.0047	0.9989	0.6717
Epoch:220.0	0.0011	1.0000	0.6956
Epoch:221.0	0.0091	0.9979	0.6893
Epoch:222.0	0.0036	0.9986	0.6881
Epoch:223.0	0.0078	0.9982	0.6767
Epoch:224.0	0.0048	0.9986	0.6805
Epoch:225.0	0.0034	0.9996	0.6994
Epoch:226.0	0.0049	0.9982	0.7057
Epoch:227.0	0.0028	0.9993	0.6818
Epoch:228.0	0.0056	0.9979	0.6855
Epoch:229.0	0.0035	0.9993	0.6855
Epoch:230.0	0.0038	0.9993	0.6943
Epoch:231.0	0.0026	0.9993	0.6855
Epoch:232.0	0.0019	0.9996	0.7019
Epoch:233.0	0.0065	0.9986	0.6767
Epoch:234.0	0.0073	0.9965	0.6805
Epoch:235.0	0.0072	0.9972	0.6893
Epoch:236.0	0.0075	0.9975	0.6855
Epoch:237.0	0.0092	0.9975	0.6855
Epoch:238.0	0.0064	0.9986	0.6981
Epoch:239.0	0.0036	0.9982	0.6792
Epoch:240.0	0.0031	0.9989	0.6818
Epoch:241.0	0.0054	0.9979	0.6629
Epoch:242.0	0.0054	0.9989	0.6805
Epoch:243.0	0.0054	0.9979	0.6906
Epoch:244.0	0.0039	0.9989	0.6755
Epoch:245.0	0.0052	0.9979	0.6679
Epoch:246.0	0.0039	0.9989	0.6881
Epoch:247.0	0.0021	1.0000	0.6906
Epoch:248.0	0.0046	0.9986	0.7006
Epoch:249.0	0.0047	0.9986	0.6818
